S/N,customer ID,Sex,Lga,Sen. Zone,Amount Granted,Principal Balance,Date Granted,Expiry Date,Principal paid,Interest paid,Principal past due,Interest past due,Paid amount,Balance,Total amount to be paid,Percentage
1,loan1,Female,ESAN WEST,EDO CENTRAL,"150,000.00","150,000.00",22/06/2022,21/06/2023,0.00,720.03,0.00,0.00,720.03,"162,779.97","163,500.00",0.44
2,loan2,Female,ETSAKO EAST,EDO NORTH,"150,000.00","150,000.00",17/06/2022,15/06/2023,0.00,0.00,,,0.00,"163,500.00","163,500.00",0.00
3,loan3,Male,OVIA SOUTH-WEST,EDO SOUTH,"200,000.00","149,553.43",05/04/2022,03/04/2023,"50,446.57","10,553.43","116,666.69","9,553.43","61,000.00","157,000.00","218,000.00",27.98
4,loan4,Male,ETSAKO WEST,EDO NORTH,"300,000.00","300,000.00",13/07/2022,12/07/2023,0.00,"2,000.00",0.00,0.00,"2,000.00","325,000.00","327,000.00",0.61
5,loan5,Female,ETSAKO EAST,EDO NORTH,"200,000.00","183,333.33",17/06/2022,15/06/2023,"16,666.67","2,333.33",0.00,0.00,"19,000.00","199,000.00","218,000.00",8.72
6,loan6,Male,ETSAKO WEST,EDO NORTH,"300,000.00","275,000.00",13/07/2022,12/07/2023,"25,000.00","3,500.00",0.00,0.00,"28,500.00","298,500.00","327,000.00",8.72
7,loan7,Male,ETSAKO EAST,EDO NORTH,"300,000.00","300,000.00",08/07/2022,06/07/2023,0.00,0.00,,,0.00,"327,000.00","327,000.00",0.00
8,loan8,Male,ETSAKO EAST,EDO NORTH,"400,000.00","400,000.00",05/07/2022,04/07/2023,0.00,0.00,,,0.00,"436,000.00","436,000.00",0.00
9,loan9,Female,ORHIONMWON,EDO SOUTH,"500,000.00","500,000.00",09/09/2022,08/09/2023,0.00,500.00,0.00,0.00,500.00,"544,500.00","545,000.00",0.09
10,loan10,Male,ESAN WEST,EDO CENTRAL,"500,000.00","500,000.00",05/04/2022,04/04/2023,0.00,"2,500.00",0.00,0.00,"2,500.00","542,500.00","545,000.00",0.46
11,loan11,Male,ESAN WEST,EDO CENTRAL,"200,000.00","200,000.00",29/06/2022,28/06/2023,0.00,"1,000.00",0.00,0.00,"1,000.00","217,000.00","218,000.00",0.46
